id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5740bda9be3dc,83,Female,32,yes,twoColorsObj,#0000FF,#00FFFF,#0087FF,403,5,Sky-Blue ,0.09,0.09,0.02,0.04,0.09,0.04
5740e3f36a945,49,Female,32,yes,twoColorsObj,#0000FF,#00FFFF,#006C84,378,1,Cyan     ,0.16,0.16,0.1,0.12,0.16,0.11
57427cf6bad0c,19,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00acff,212,3,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
574511e99b6d9,19,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00caff,73,4,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
57451c3b38192,23,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,376,3,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5745350dc1e22,19,Female,31,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,221,3,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5745500f6e643,24,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00caff,76,3,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
5745b5cbe3caa,34,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#6effa3,1364,4,NA       ,0.29,0.29,0.22,0.25,0.29,0.23
5756b2d9bd658,23,Female,32,yes,twoColorsObj,#0000FF,#00FFFF,#00A4FF,81,3,Cyan     ,0.12,0.12,0.05,0.08,0.12,0.07
5776cc574bf84,45,Female,21,no,twoColorsObj,#0000FF,#00FFFF,#00ffb7,609,1,NA       ,0.27,0.27,0.2,0.23,0.27,0.22
