id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
5711106ab212a,objTwoColors,#FF007F,4,159,375,2,Red      ,Green    ,0.72,0.33,0.09,0.07,0.06,0.12,0.29,0.3,0.33,0.3,0.3,0.49,0.49,0.34,0.5
5711148c11035,objTwoColors,#FF007F,308,61,495,2,Pink     ,Green    ,0.24,0.16,0.22,0.04,0.11,0.05,0.66,0.66,0.58,0.66,0.66,0.01,0.02,0.22,0.03
5711149df2d2a,objTwoColors,#FF007F,4,167,509,5,Red      ,Green    ,0.75,0.35,0.1,0.06,0.02,0.1,0.25,0.26,0.32,0.26,0.26,0.52,0.52,0.37,0.53
57112b9e10661,objTwoColors,#FF007F,17,302,235,2,Red      ,Pink     ,0.89,0.08,0.16,0.14,0.19,0.12,0.08,0.09,0.25,0.09,0.09,0.67,0.66,0.48,0.66
57112cec29456,objTwoColors,#FF007F,3,223,70,5,Red      ,Blue     ,1.04,0.24,0.16,0.08,0.16,0.09,0.21,0.23,0.4,0.23,0.23,0.81,0.81,0.63,0.81
57112d8509632,objTwoColors,#FF007F,350,229,180,2,Red      ,Blue     ,1.04,0.26,0.14,0.09,0.2,0.12,0.24,0.26,0.43,0.26,0.26,0.81,0.8,0.63,0.8
57112da850667,objTwoColors,#FF007F,284,352,256,3,Purple   ,Red      ,0.38,0.1,0.3,0.13,0.17,0.12,0.75,0.75,0.56,0.75,0.75,0.39,0.4,0.54,0.39
571130c5cd6e9,objTwoColors,#FF007F,12,184,102,3,Red      ,Blue     ,0.82,0.38,0.13,0.03,0.02,0.05,0.22,0.22,0.32,0.22,0.22,0.6,0.6,0.44,0.6
571130d934bda,objTwoColors,#FF007F,301,56,162,4,Pink     ,Green    ,0.2,0.16,0.26,0.05,0.12,0.03,0.69,0.69,0.6,0.69,0.69,0.04,0.05,0.24,0.05
5711348e42f02,objTwoColors,#FF007F,355,231,134,4,Red      ,Blue     ,1.05,0.24,0.15,0.09,0.19,0.12,0.24,0.25,0.42,0.26,0.25,0.83,0.83,0.66,0.83
571138253c724,objTwoColors,#FF007F,181,10,363,3,Blue     ,Red      ,0.53,0.37,0.32,0.04,0.03,0.06,0.74,0.73,0.55,0.74,0.73,0.46,0.46,0.53,0.45
5711389736065,objTwoColors,#FF007F,34,52,348,5,Yellow   ,Green    ,0.54,0.2,0.19,0.14,0.17,0.17,0.47,0.47,0.38,0.47,0.47,0.33,0.32,0.17,0.31
57113de4aed1a,objTwoColors,#FF007F,5,312,160,4,Red      ,Pink     ,0.87,0.07,0.14,0.17,0.2,0.15,0.04,0.03,0.16,0.03,0.03,0.64,0.64,0.45,0.63
57113e3362c9f,objTwoColors,#FF007F,12,56,356,2,Red      ,Green    ,0.55,0.17,0.09,0.14,0.19,0.17,0.36,0.35,0.27,0.35,0.35,0.33,0.32,0.16,0.32
571153ca15566,objTwoColors,#FF007F,308,196,1095,1,Pink     ,LI-Blue  ,0.58,0.39,0.09,0.1,0.23,0.16,0.49,0.51,0.63,0.51,0.51,0.35,0.37,0.54,0.37
5711613cca97d,objTwoColors,#FF007F,223,54,370,5,Blue     ,Green    ,0.05,0.37,0.3,0.02,0.03,0.04,0.87,0.86,0.77,0.86,0.86,0.23,0.24,0.4,0.23
571165992a5c1,objTwoColors,#FF007F,288,353,0,3,Navy-Blue,Red      ,0.4,0.08,0.29,0.13,0.17,0.12,0.73,0.73,0.54,0.73,0.73,0.37,0.38,0.52,0.37
57116b9b879bf,objTwoColors,#FF007F,304,320,8,4,Pink     ,Pink     ,0.5,0.14,0.13,0.13,0.17,0.13,0.43,0.43,0.43,0.43,0.43,0.31,0.32,0.48,0.32
5711703bd85fc,objTwoColors,#FF007F,9,55,129,5,Red      ,Green    ,0.57,0.17,0.08,0.14,0.19,0.17,0.35,0.34,0.26,0.34,0.34,0.34,0.33,0.16,0.32
5711800f2c5f3,objTwoColors,#FF007F,5,201,198,2,Red      ,Navy-Blue,0.92,0.29,0.14,0.04,0.08,0.02,0.18,0.19,0.34,0.19,0.19,0.69,0.69,0.53,0.69
57119224388ef,objTwoColors,#FF007F,273,49,533,5,Blue     ,Green    ,0.11,0.09,0.33,0.02,0.08,0.03,0.81,0.81,0.7,0.81,0.81,0.21,0.22,0.37,0.21
5711cbde51bb0,objTwoColors,#FF007F,201,23,250,3,Navy-Blue,Orange   ,0.35,0.4,0.26,0.02,0.02,0.01,0.77,0.76,0.59,0.76,0.76,0.37,0.38,0.5,0.37
571214121717c,objTwoColors,#FF007F,56,259,194,2,Green    ,Blue     ,1.01,0.06,0.28,0.02,0.05,0.04,0.48,0.49,0.65,0.49,0.49,0.83,0.83,0.76,0.83
57121e2a63601,objTwoColors,#FF007F,353,23,279,1,Red      ,Orange   ,0.74,0.16,0.06,0.21,0.27,0.22,0.31,0.31,0.15,0.31,0.31,0.51,0.5,0.3,0.49
57123bec83e8e,objTwoColors,#FF007F,189,358,281,3,Cyan     ,Red      ,0.5,0.33,0.29,0.03,0.05,0.03,0.75,0.75,0.56,0.75,0.75,0.46,0.45,0.56,0.44
571243bcc8142,objTwoColors,#FF007F,351,229,518,5,Red      ,Blue     ,1.04,0.25,0.14,0.09,0.2,0.12,0.24,0.26,0.42,0.26,0.26,0.82,0.81,0.63,0.81
571247f66fb51,objTwoColors,#FF007F,269,351,649,3,Blue     ,Red      ,0.32,0.15,0.34,0.11,0.17,0.12,0.82,0.81,0.62,0.81,0.81,0.45,0.46,0.6,0.45
571260c120253,objTwoColors,#FF007F,13,233,97,3,Red      ,Blue     ,1.05,0.19,0.17,0.08,0.17,0.11,0.26,0.27,0.43,0.28,0.27,0.83,0.82,0.65,0.82
57127bcfaafb0,objTwoColors,#FF007F,5,59,246,3,Red      ,Green    ,0.55,0.17,0.07,0.14,0.19,0.17,0.35,0.34,0.27,0.34,0.34,0.32,0.32,0.17,0.33
5712c2b021f58,objTwoColors,#FF007F,176,12,57,5,Blue     ,Red      ,0.54,0.37,0.33,0.04,0.03,0.07,0.73,0.73,0.54,0.73,0.73,0.47,0.47,0.52,0.46
5712c57f97f25,objTwoColors,#FF007F,234,281,499,4,Blue     ,Purple   ,0.43,0.38,0.44,0.18,0.32,0.3,0.69,0.7,0.86,0.7,0.7,0.66,0.68,0.85,0.68
5713923c1bbc7,objTwoColors,#FF007F,301,278,373,2,Pink     ,Blue     ,0.63,0.26,0.09,0.12,0.22,0.21,0.5,0.52,0.68,0.52,0.52,0.47,0.49,0.67,0.49
5713ce8c57c5e,objTwoColors,#FF007F,291,342,324,5,Navy-Blue,Red      ,0.4,0.11,0.25,0.13,0.17,0.11,0.67,0.66,0.48,0.67,0.66,0.34,0.35,0.5,0.34
5713d766113e9,objTwoColors,#FF007F,327,327,241,5,Magenta  ,Magenta  ,0.64,0.02,0.06,0.16,0.18,0.12,0.32,0.32,0.21,0.32,0.32,0.41,0.4,0.29,0.39
5713dd915ca28,objTwoColors,#FF007F,2,12,80,1,Red      ,Red      ,0.8,0.16,0.07,0.23,0.29,0.24,0.32,0.32,0.15,0.32,0.32,0.58,0.56,0.36,0.55
5713fc80c942a,objTwoColors,#FF007F,3,179,113,4,Red      ,Blue     ,0.81,0.36,0.12,0.05,0.02,0.06,0.21,0.22,0.31,0.22,0.22,0.58,0.58,0.41,0.58
5714c6c26c2f6,objTwoColors,#FF007F,307,350,646,2,Pink     ,Red      ,0.49,0.01,0.22,0.16,0.18,0.13,0.63,0.62,0.44,0.63,0.62,0.27,0.28,0.42,0.27
5716e9900f6ea,objTwoColors,#FF007F,223,10,115,4,Blue     ,Red      ,0.29,0.22,0.3,0.08,0.14,0.09,0.86,0.85,0.67,0.85,0.85,0.47,0.48,0.62,0.47
57190633f233f,objTwoColors,#FF007F,4,208,355,2,Red      ,NA       ,0.97,0.27,0.15,0.06,0.11,0.04,0.18,0.2,0.36,0.2,0.2,0.74,0.73,0.56,0.73
57276731cfba9,objTwoColors,#FF007F,3,106,397,3,Red      ,Green    ,0.69,0.25,0.07,0.1,0.16,0.18,0.42,0.43,0.4,0.43,0.43,0.46,0.46,0.32,0.47
57276995206d6,objTwoColors,#FF007F,209,353,291,3,NA       ,Red      ,0.37,0.3,0.25,0.07,0.14,0.05,0.8,0.8,0.61,0.8,0.8,0.45,0.46,0.59,0.45
5727d86840dc8,objTwoColors,#FF007F,2,238,239,3,Red      ,Blue     ,1.07,0.2,0.17,0.09,0.19,0.12,0.23,0.25,0.43,0.25,0.25,0.85,0.84,0.67,0.84
5734918f46823,objTwoColors,#FF007F,311,56,124,2,Pink     ,Green    ,0.26,0.16,0.2,0.06,0.12,0.06,0.63,0.63,0.54,0.63,0.63,0.03,0.02,0.18,0.02
5734d89183dab,objTwoColors,#FF007F,357,195,105,4,Red      ,Sky-Blue ,0.89,0.32,0.13,0.03,0.07,0.02,0.17,0.19,0.32,0.19,0.19,0.66,0.66,0.49,0.66
5736048bb110b,objTwoColors,#FF007F,2,197,89,5,Red      ,LI-Blue  ,0.9,0.3,0.14,0.03,0.07,0.02,0.17,0.18,0.33,0.18,0.18,0.68,0.67,0.5,0.67
573634984323e,objTwoColors,#FF007F,335,329,185,4,Red      ,Magenta  ,0.69,0.02,0.06,0.17,0.2,0.14,0.28,0.28,0.14,0.28,0.28,0.47,0.47,0.27,0.46
57363b3954a26,objTwoColors,#FF007F,358,196,248,2,Red      ,LI-Blue  ,0.9,0.31,0.13,0.03,0.07,0.02,0.17,0.19,0.33,0.19,0.19,0.67,0.67,0.5,0.67
57366c199283c,objTwoColors,#FF007F,5,169,123,3,Red      ,Green    ,0.76,0.35,0.11,0.05,0.02,0.09,0.25,0.25,0.31,0.25,0.25,0.53,0.53,0.37,0.54
574297edae49c,objTwoColors,#FF007F,333,327,163,5,Magenta  ,Magenta  ,0.69,0,0.06,0.17,0.19,0.13,0.28,0.27,0.17,0.27,0.27,0.46,0.45,0.26,0.44
574511e99b6d9,objTwoColors,#FF007F,9,231,65,4,Red      ,Blue     ,1.06,0.2,0.17,0.08,0.17,0.11,0.25,0.26,0.42,0.26,0.26,0.83,0.83,0.66,0.83
57459c393bbd0,objTwoColors,#FF007F,10,208,338,3,Red      ,NA       ,0.96,0.26,0.16,0.06,0.09,0.04,0.2,0.21,0.36,0.21,0.21,0.74,0.73,0.56,0.73
5745b5cbe3caa,objTwoColors,#FF007F,330,341,294,3,Magenta  ,Red      ,0.65,0.04,0.08,0.18,0.21,0.16,0.41,0.41,0.22,0.41,0.41,0.43,0.42,0.25,0.41
5745c1c07cc0c,objTwoColors,#FF007F,189,352,253,3,Cyan     ,Red      ,0.49,0.34,0.29,0.03,0.07,0.02,0.74,0.74,0.55,0.74,0.74,0.45,0.45,0.55,0.44
