id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
573e47c26cb8e,24,Male,32,yes,objTwoColors,#FF7200,151,356,141,3,Teal     ,Red      ,0.42,0.21,0.36,0.08,0.07,0.09,0.68,0.68,0.64,0.67,0.68
573e4d0eb795b,24,Male,32,yes,objTwoColors,#FF7200,28,30,88,5,Orange   ,Brown    ,0.6,0.01,0.12,0.16,0.21,0.17,0.27,0.27,0.23,0.26,0.27
573ec4275ba17,24,Female,32,yes,objTwoColors,#FF7200,6,50,48,3,Red      ,Green    ,0.72,0.01,0.05,0.15,0.21,0.16,0.05,0.05,0.02,0.05,0.05
573edae85268b,27,Male,32,yes,objTwoColors,#FF7200,2,43,228,4,Red      ,Yellow   ,0.72,0.05,0.05,0.16,0.23,0.18,0.08,0.08,0.06,0.07,0.08
574297edae49c,24,Male,32,no,objTwoColors,#FF8000,8,59,43,5,Red      ,Green    ,0.74,0.02,0.05,0.14,0.19,0.14,0.01,0.03,0.04,0.04,0.03
57451c3b38192,23,Female,32,no,objTwoColors,#FF8000,0,31,14,5,Red      ,Orange   ,0.71,0.08,0.05,0.19,0.26,0.21,0.15,0.16,0.13,0.15,0.16
5745500f6e643,24,Female,32,no,objTwoColors,#FF8000,0,44,32,4,Red      ,Yellow   ,0.72,0.05,0.05,0.16,0.23,0.17,0.07,0.08,0.05,0.07,0.08
57459c393bbd0,29,Male,31,no,objTwoColors,#FF8000,10,59,93,4,Red      ,Green    ,0.73,0.03,0.05,0.13,0.18,0.14,0.02,0.03,0.04,0.04,0.03
5756ab1701ba0,21,Male,32,yes,objTwoColors,#FF7200,3,70,199,5,Red      ,Yellow   ,0.77,0.04,0.05,0.12,0.18,0.14,0.04,0.06,0.08,0.07,0.06
5756ae6897296,21,Male,32,yes,objTwoColors,#FF7200,59,38,424,4,Green    ,Yellow   ,0.43,0.11,0.27,0.13,0.16,0.13,0.39,0.38,0.35,0.37,0.38
5756b2d9bd658,23,Female,32,yes,objTwoColors,#FF7200,55,356,183,5,Green    ,Red      ,0.47,0.03,0.26,0.14,0.2,0.15,0.54,0.54,0.5,0.53,0.54
5757fd2703090,22,Male,32,yes,objTwoColors,#FF8000,2,59,90,5,Red      ,Green    ,0.75,0,0.05,0.14,0.19,0.15,0,0.02,0.04,0.03,0.02
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#FF8000,2,52,52,4,Red      ,Green    ,0.73,0.02,0.05,0.15,0.21,0.16,0.03,0.04,0.02,0.03,0.04
57581518c2c07,25,Male,32,yes,objTwoColors,#FF8000,55,353,144,4,Green    ,Red      ,0.46,0.04,0.26,0.14,0.2,0.15,0.53,0.54,0.49,0.53,0.54
57582b17cd76a,26,Male,32,yes,objTwoColors,#FF8000,11,56,103,4,Red      ,Green    ,0.72,0.02,0.05,0.14,0.19,0.15,0.03,0.04,0.03,0.04,0.04
