id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
57112da850667,objTwoColors,#FF8000,356,58,189,5,Red      ,Green    ,0.75,0.02,0.05,0.14,0.2,0.15,0.02,0.02,0.04,0.02,0.02
57112e1a2bbbb,objTwoColors,#FF8000,9,121,250,2,Red      ,Green    ,0.83,0.18,0.05,0.1,0.16,0.13,0.17,0.18,0.2,0.19,0.18
57112ebc85ba1,objTwoColors,#FF8000,321,55,87,5,Pink     ,Green    ,0.72,0.11,0.18,0.07,0.14,0.08,0.25,0.26,0.24,0.25,0.26
571130c5cd6e9,objTwoColors,#FF8000,21,49,50,5,Red      ,Green    ,0.66,0.03,0.09,0.14,0.18,0.15,0.12,0.11,0.08,0.1,0.11
571130d934bda,objTwoColors,#FF8000,29,29,56,5,Orange   ,Orange   ,0.6,0.01,0.13,0.16,0.21,0.17,0.28,0.28,0.24,0.27,0.28
5711348e42f02,objTwoColors,#FF8000,356,63,239,4,Red      ,Green    ,0.75,0,0.05,0.13,0.19,0.14,0.02,0.03,0.06,0.04,0.03
5711389736065,objTwoColors,#FF8000,57,5,163,5,Green    ,Red      ,0.46,0.01,0.27,0.14,0.19,0.15,0.54,0.55,0.5,0.54,0.55
57113d4d93c81,objTwoColors,#FF8000,57,6,40,5,Green    ,Red      ,0.46,0.01,0.27,0.14,0.19,0.15,0.54,0.55,0.5,0.54,0.55
57113de4aed1a,objTwoColors,#FF8000,9,41,30,4,Red      ,Yellow   ,0.71,0.03,0.05,0.16,0.22,0.18,0.11,0.1,0.07,0.09,0.1
571153ca15566,objTwoColors,#FF8000,11,58,63,3,Red      ,Green    ,0.73,0.03,0.05,0.14,0.18,0.14,0.03,0.04,0.04,0.04,0.04
5711641931da5,objTwoColors,#FF8000,64,12,451,5,Green    ,Red      ,0.43,0.05,0.29,0.13,0.18,0.14,0.55,0.55,0.51,0.54,0.55
571165992a5c1,objTwoColors,#FF8000,22,59,1124,4,Red      ,Green    ,0.68,0.06,0.09,0.13,0.17,0.14,0.07,0.09,0.09,0.1,0.09
57116b9b879bf,objTwoColors,#FF8000,38,22,163,3,Yellow   ,Red      ,0.55,0,0.18,0.15,0.2,0.17,0.38,0.38,0.33,0.37,0.38
5711703bd85fc,objTwoColors,#FF8000,3,58,53,5,Red      ,Green    ,0.75,0,0.05,0.14,0.19,0.15,0.01,0.02,0.04,0.02,0.02
5711800f2c5f3,objTwoColors,#FF8000,1,56,39,4,Red      ,Green    ,0.74,0.01,0.05,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
571183866d73f,objTwoColors,#FF8000,4,59,44,5,Red      ,Green    ,0.75,0.01,0.05,0.14,0.19,0.15,0,0.02,0.04,0.03,0.02
57119224388ef,objTwoColors,#FF8000,48,6,128,5,Green    ,Red      ,0.5,0.02,0.23,0.15,0.21,0.16,0.5,0.5,0.46,0.5,0.5
5711ace2ee7ed,objTwoColors,#FF8000,55,5,258,5,Green    ,Red      ,0.47,0,0.26,0.14,0.2,0.15,0.53,0.54,0.49,0.53,0.54
5711cbde51bb0,objTwoColors,#FF8000,64,10,275,3,Green    ,Red      ,0.43,0.04,0.29,0.13,0.18,0.14,0.56,0.56,0.52,0.55,0.56
571214121717c,objTwoColors,#FF8000,57,7,254,5,Green    ,Red      ,0.46,0.01,0.27,0.14,0.19,0.15,0.54,0.55,0.5,0.53,0.55
5712197fbccd5,objTwoColors,#FF8000,1,48,168,4,Red      ,Green    ,0.73,0.03,0.05,0.16,0.22,0.17,0.05,0.06,0.03,0.05,0.06
57123e4050550,objTwoColors,#FF8000,4,59,449,4,Red      ,Green    ,0.75,0.01,0.05,0.14,0.19,0.15,0,0.02,0.04,0.03,0.02
571245f0af12d,objTwoColors,#FF8000,21,56,212,3,Red      ,Green    ,0.67,0.05,0.09,0.13,0.17,0.14,0.08,0.08,0.08,0.08,0.08
571247f66fb51,objTwoColors,#FF8000,4,56,164,3,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
571252e6d2e70,objTwoColors,#FF8000,5,55,50,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.03,0.03,0.03,0.02,0.03
571260c120253,objTwoColors,#FF8000,9,54,38,3,Red      ,Green    ,0.73,0.01,0.05,0.14,0.19,0.15,0.04,0.04,0.02,0.03,0.04
57126595532de,objTwoColors,#FF8000,55,11,40,2,Green    ,Red      ,0.47,0.02,0.26,0.14,0.19,0.15,0.52,0.52,0.48,0.51,0.52
57127bcfaafb0,objTwoColors,#FF8000,4,55,82,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.02,0.03,0.03,0.02,0.03
5712a47f6f8a6,objTwoColors,#FF8000,59,67,9,2,Green    ,Yellow   ,0.48,0.17,0.27,0.12,0.17,0.14,0.31,0.31,0.33,0.32,0.31
5712bd55a8a13,objTwoColors,#FF8000,10,59,61,3,Red      ,Green    ,0.73,0.03,0.05,0.13,0.18,0.14,0.02,0.03,0.04,0.04,0.03
5712c2b021f58,objTwoColors,#FF8000,58,3,81,5,Green    ,Red      ,0.46,0,0.27,0.14,0.19,0.15,0.55,0.55,0.51,0.54,0.55
5712c57f97f25,objTwoColors,#FF8000,3,49,34,4,Red      ,Green    ,0.73,0.03,0.05,0.15,0.21,0.16,0.05,0.05,0.03,0.04,0.05
5713923c1bbc7,objTwoColors,#FF8000,18,42,463,3,Red      ,Yellow   ,0.67,0,0.08,0.15,0.2,0.16,0.13,0.14,0.09,0.13,0.14
5713fc80c942a,objTwoColors,#FF8000,14,55,46,5,Red      ,Green    ,0.71,0.03,0.06,0.14,0.19,0.15,0.05,0.06,0.04,0.05,0.06
5716e9900f6ea,objTwoColors,#FF8000,55,15,73,4,Green    ,Red      ,0.46,0.03,0.26,0.14,0.18,0.15,0.5,0.51,0.46,0.5,0.51
57190633f233f,objTwoColors,#FF8000,5,59,132,4,Red      ,Green    ,0.75,0.01,0.05,0.14,0.19,0.15,0.01,0.02,0.04,0.03,0.02
5734918f46823,objTwoColors,#FF8000,58,89,151,2,Green    ,Green    ,0.54,0.21,0.27,0.12,0.18,0.16,0.38,0.39,0.4,0.4,0.39
5734aa4c927a8,objTwoColors,#FF8000,14,59,132,4,Red      ,Green    ,0.72,0.04,0.06,0.13,0.18,0.14,0.03,0.05,0.05,0.06,0.05
5734d89183dab,objTwoColors,#FF8000,53,10,77,4,Green    ,Red      ,0.48,0.01,0.25,0.14,0.19,0.15,0.51,0.52,0.47,0.51,0.52
5735d3455a84c,objTwoColors,#FF8000,7,58,49,5,Red      ,Green    ,0.74,0.02,0.05,0.14,0.19,0.15,0.02,0.03,0.04,0.03,0.03
5736048bb110b,objTwoColors,#FF8000,28,31,62,5,Orange   ,Orange   ,0.6,0,0.12,0.16,0.21,0.17,0.26,0.27,0.22,0.26,0.27
573634984323e,objTwoColors,#FF8000,17,55,135,4,Red      ,Green    ,0.7,0.04,0.07,0.14,0.18,0.14,0.07,0.07,0.06,0.06,0.07
573664e1a4a96,objTwoColors,#FF8000,353,57,96,5,Red      ,Green    ,0.74,0.03,0.06,0.14,0.2,0.14,0.02,0.03,0.03,0.03,0.03
57366c199283c,objTwoColors,#FF8000,51,31,52,5,Green    ,Orange   ,0.47,0.07,0.24,0.14,0.17,0.13,0.39,0.4,0.35,0.39,0.4
5738cf3d97a58,objTwoColors,#FF8000,7,54,45,4,Red      ,Green    ,0.73,0,0.05,0.14,0.2,0.15,0.03,0.04,0.02,0.03,0.04
57427cf6bad0c,objTwoColors,#FF8000,4,57,152,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
574297edae49c,objTwoColors,#FF8000,8,59,43,5,Red      ,Green    ,0.74,0.02,0.05,0.14,0.19,0.14,0.01,0.03,0.04,0.04,0.03
5744dce84ffa5,objTwoColors,#FF8000,57,11,230,4,Green    ,Red      ,0.46,0.03,0.27,0.14,0.19,0.15,0.53,0.53,0.49,0.52,0.53
574511e99b6d9,objTwoColors,#FF8000,13,50,72,4,Red      ,Green    ,0.7,0.01,0.06,0.15,0.2,0.15,0.07,0.07,0.03,0.07,0.07
5745350dc1e22,objTwoColors,#FF8000,3,52,426,5,Red      ,Green    ,0.73,0.02,0.05,0.15,0.21,0.16,0.03,0.04,0.02,0.03,0.04
57459c393bbd0,objTwoColors,#FF8000,10,59,93,4,Red      ,Green    ,0.73,0.03,0.05,0.13,0.18,0.14,0.02,0.03,0.04,0.04,0.03
5745b5cbe3caa,objTwoColors,#FF8000,27,52,64,4,Orange   ,Green    ,0.63,0.06,0.12,0.14,0.17,0.14,0.13,0.14,0.1,0.13,0.14
574628a9e94a1,objTwoColors,#FF8000,191,161,1209,2,Sky-Blue ,Green    ,0.62,0.32,0.26,0.1,0.1,0.15,0.62,0.63,0.63,0.64,0.63
