id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_limegreen,distance_expectedC3_red,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
571183866d73f,48,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,167,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5711f4ec96b9c,45,Female,6,no,twoColorsObj,#0000FF,#FFFF00,#c6aeff,44,1,NA       ,0.19,0.2,0.19,0.2,0.29,0.09,0.06,0.08
5712197fbccd5,24,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,67,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
57123e4050550,20,Female,40,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,514,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
571245dfd5f63,24,Female,8,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,459,4,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
571252e6d2e70,31,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,341,5,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
57127bcfaafb0,22,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,146,4,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
571289ef76e18,55,Female,31,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,125,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5712a254e00f7,18,Female,18,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,313,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5712bd55a8a13,27,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,218,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
