id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_limegreen,distance_expectedC3_red,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57277ba3c5a5c,twoColorsObj,#0000FF,#FFFF00,#91c01d,118,4,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
5734918f46823,twoColorsObj,#0000FF,#FFFF00,#80FF00,130,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5734aa4c927a8,twoColorsObj,#0000FF,#FFFF00,#00FF00,180,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5734d89183dab,twoColorsObj,#0000FF,#FFFF00,#00FF00,107,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5735d3455a84c,twoColorsObj,#0000FF,#FFFF00,#80FF00,149,4,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5736048bb110b,twoColorsObj,#0000FF,#FFFF00,#80FF00,110,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
573634984323e,twoColorsObj,#0000FF,#FFFF00,#00FF00,126,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57366c199283c,twoColorsObj,#0000FF,#FFFF00,#00FF00,94,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5738cf3d97a58,twoColorsObj,#0000FF,#FFFF00,#00caff,90,3,Blue     ,0.17,0.25,0.17,0.25,0.33,0.12,0.09,0.12
57427cf6bad0c,twoColorsObj,#0000FF,#FFFF00,#80FF00,111,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
574297edae49c,twoColorsObj,#0000FF,#FFFF00,#00FF00,164,2,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
574511e99b6d9,twoColorsObj,#0000FF,#FFFF00,#91c01d,482,4,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
57451c3b38192,twoColorsObj,#0000FF,#FFFF00,#00FF00,315,2,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5745350dc1e22,twoColorsObj,#0000FF,#FFFF00,#00FF00,167,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5745500f6e643,twoColorsObj,#0000FF,#FFFF00,#00FF80,143,4,NA       ,0.06,0.27,0.06,0.27,0.3,0.1,0.11,0.16
57459c393bbd0,twoColorsObj,#0000FF,#FFFF00,#00FF00,152,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5745b5cbe3caa,twoColorsObj,#0000FF,#FFFF00,#00FF00,1783,1,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5745c1c07cc0c,twoColorsObj,#0000FF,#FFFF00,#00FF00,743,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5745f6f039dc9,twoColorsObj,#0000FF,#FFFF00,#FFFFFF,0,4,NA       ,0.15,0.19,0.15,0.19,0.26,0.03,0,0.06
