id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7
5740ad339507d,40,Male,32,yes,objTwoColors,#B100FF,7,233,77,2,Red      ,Blue     ,0.33,0.12,0.16,0.09,0.18,0.18,0.78,0.75,0.87,0.79,0.75,0.83,0.62
5740b0f8e9734,62,Male,33,yes,objTwoColors,#B100FF,282,0,177,4,Purple   ,Red      ,0.84,0.25,0.35,0.13,0.18,0.17,0.43,0.37,0.2,0.41,0.37,0.29,0.57
5740b686127bb,32,Male,32,yes,objTwoColors,#B100FF,211,328,172,4,Blue     ,Magenta  ,0.77,0.02,0.22,0.1,0.22,0.22,0.23,0.21,0.07,0.22,0.21,0.15,0.37
574297edae49c,24,Male,32,no,objTwoColors,#7f00ff,246,327,136,3,Blue     ,Magenta  ,0.82,0.06,0.35,0.12,0.26,0.28,0.15,0.17,0.15,0.14,0.17,0.25,0.45
57459c393bbd0,29,Male,31,no,objTwoColors,#7f00ff,9,223,95,4,Red      ,Blue     ,0.31,0.1,0.16,0.08,0.15,0.16,0.76,0.73,0.85,0.77,0.73,0.81,0.6
5745f6f039dc9,15,Male,33,no,objTwoColors,#7f00ff,237,0,638,1,Blue     ,Red      ,0.95,0.11,0.39,0.09,0.19,0.19,0.34,0.36,0.25,0.32,0.36,0.35,0.63
574859b8f3379,30,Male,32,yes,objTwoColors,#B100FF,303,256,755,3,Pink     ,Blue     ,0.66,0.02,0.29,0.13,0.26,0.33,0.42,0.39,0.52,0.43,0.39,0.56,0.45
5756ab1701ba0,21,Male,32,yes,objTwoColors,#B100FF,180,300,261,4,Blue     ,Pink     ,0.64,0.07,0.22,0.07,0.19,0.22,0.31,0.3,0.39,0.32,0.3,0.29,0.1
5756ae6897296,21,Male,32,yes,objTwoColors,#B100FF,349,300,345,4,Red      ,Pink     ,0.25,0.28,0.21,0.16,0.18,0.16,0.56,0.53,0.66,0.57,0.53,0.62,0.42
5757fd2703090,22,Male,32,yes,objTwoColors,#7f00ff,271,0,175,4,Blue     ,Red      ,0.89,0.21,0.37,0.11,0.17,0.18,0.38,0.32,0.21,0.36,0.32,0.31,0.59
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#7f00ff,202,352,120,4,Navy-Blue,Red      ,0.85,0.01,0.18,0.05,0.11,0.11,0.45,0.42,0.18,0.44,0.42,0.2,0.48
57581518c2c07,25,Male,32,yes,objTwoColors,#7f00ff,176,323,120,4,Blue     ,Magenta  ,0.66,0.07,0.21,0.05,0.15,0.14,0.4,0.37,0.26,0.39,0.37,0.16,0.13
57582b17cd76a,26,Male,32,yes,objTwoColors,#7f00ff,5,232,54,3,Red      ,Blue     ,0.32,0.11,0.16,0.09,0.18,0.18,0.78,0.75,0.87,0.79,0.75,0.83,0.63
