id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
571165992a5c1,objTwoColors,#0000FF,57,122,272,3,Green    ,Green    ,0.65,0.54,0.1,0.22,0.38,0.28
57116b9b879bf,objTwoColors,#0000FF,248,221,0,5,Blue     ,Blue     ,0.53,0,0.29,0.1,0.14,0.24
5711703bd85fc,objTwoColors,#0000FF,232,223,2,5,Blue     ,Blue     ,0.52,0.01,0.25,0.1,0.14,0.25
5711760a3dfe0,objTwoColors,#0000FF,230,233,714,5,Blue     ,Blue     ,0.54,0,0.23,0.11,0.15,0.26
571183866d73f,objTwoColors,#0000FF,57,129,199,4,Green    ,Green    ,0.64,0.54,0.1,0.22,0.37,0.28
57119224388ef,objTwoColors,#0000FF,117,54,218,5,Green    ,Green    ,0.57,0.53,0.03,0.22,0.38,0.28
5711ace2ee7ed,objTwoColors,#0000FF,228,229,145,5,Blue     ,Blue     ,0.53,0.01,0.21,0.1,0.14,0.25
57121540dbb98,objTwoColors,#0000FF,248,254,198,5,Blue     ,Blue     ,0.54,0,0.28,0.11,0.16,0.26
57121e2a63601,objTwoColors,#0000FF,138,42,58,3,Green    ,Yellow   ,0.51,0.54,0.04,0.21,0.35,0.26
57122801e1da9,objTwoColors,#0000FF,195,312,616,2,Sky-Blue ,Pink     ,0.16,0,0.12,0.02,0.03,0.06
57123bec83e8e,objTwoColors,#0000FF,232,233,431,5,Blue     ,Blue     ,0.54,0,0.25,0.11,0.15,0.26
57123e4050550,objTwoColors,#0000FF,236,239,625,5,Blue     ,Blue     ,0.55,0.01,0.27,0.11,0.16,0.26
571243bcc8142,objTwoColors,#0000FF,309,184,263,4,Pink     ,Blue     ,0.41,0.01,0.27,0.03,0.01,0.04
571247f66fb51,objTwoColors,#0000FF,229,238,163,5,Blue     ,Blue     ,0.54,0,0.22,0.11,0.15,0.26
571252e6d2e70,objTwoColors,#0000FF,207,247,315,4,Navy-Blue,Blue     ,0.44,0.01,0.15,0.09,0.12,0.21
571260c120253,objTwoColors,#0000FF,236,214,152,2,Blue     ,Blue     ,0.51,0.02,0.28,0.1,0.13,0.23
5712649f2fada,objTwoColors,#0000FF,252,261,245,5,Blue     ,Blue     ,0.52,0.01,0.28,0.1,0.14,0.25
57127bcfaafb0,objTwoColors,#0000FF,232,225,467,5,Blue     ,Blue     ,0.53,0.01,0.25,0.1,0.14,0.25
5712c2b021f58,objTwoColors,#0000FF,178,238,938,5,Blue     ,Blue     ,0.27,0.1,0.06,0.05,0.05,0.14
5712c57f97f25,objTwoColors,#0000FF,238,254,270,4,Blue     ,Blue     ,0.54,0.01,0.28,0.11,0.16,0.26
57138ac176750,objTwoColors,#0000FF,191,251,286,2,Sky-Blue ,Blue     ,0.34,0.03,0.1,0.07,0.08,0.17
5713923c1bbc7,objTwoColors,#0000FF,62,116,519,3,Green    ,Green    ,0.65,0.54,0.09,0.21,0.38,0.29
5713b10383207,objTwoColors,#0000FF,115,59,548,4,Green    ,Green    ,0.58,0.53,0.03,0.22,0.38,0.28
5713d766113e9,objTwoColors,#0000FF,52,102,474,5,Green    ,Green    ,0.65,0.52,0.12,0.23,0.38,0.28
5713fc80c942a,objTwoColors,#0000FF,231,238,137,5,Blue     ,Blue     ,0.54,0,0.24,0.11,0.15,0.26
571534076a966,objTwoColors,#0000FF,51,118,493,3,Green    ,Green    ,0.66,0.53,0.13,0.23,0.38,0.28
5716e9900f6ea,objTwoColors,#0000FF,184,317,164,3,Blue     ,Pink     ,0.13,0,0.1,0.05,0.01,0.02
57190633f233f,objTwoColors,#0000FF,179,286,423,3,Blue     ,Purple   ,0.15,0,0.07,0.02,0.02,0.08
5734779e28d4b,objTwoColors,#0000FF,239,232,102,4,Blue     ,Blue     ,0.55,0.01,0.28,0.11,0.16,0.26
5734aa4c927a8,objTwoColors,#0000FF,209,239,171,3,NA       ,Blue     ,0.45,0.02,0.16,0.09,0.12,0.22
5734d89183dab,objTwoColors,#0000FF,256,250,167,4,Blue     ,Blue     ,0.54,0,0.27,0.11,0.15,0.25
5735d3455a84c,objTwoColors,#0000FF,254,245,596,5,Blue     ,Blue     ,0.54,0,0.27,0.11,0.16,0.26
5736048bb110b,objTwoColors,#0000FF,239,224,108,5,Blue     ,Blue     ,0.53,0,0.29,0.11,0.15,0.25
573613f4689a3,objTwoColors,#0000FF,235,228,171,3,Blue     ,Blue     ,0.54,0,0.27,0.11,0.15,0.26
573634984323e,objTwoColors,#0000FF,230,240,187,5,Blue     ,Blue     ,0.54,0.01,0.23,0.11,0.15,0.26
573664e1a4a96,objTwoColors,#0000FF,175,265,92,2,Blue     ,Blue     ,0.21,0.04,0.05,0.04,0.04,0.11
57366c199283c,objTwoColors,#0000FF,3,315,104,5,Red      ,Pink     ,0.44,0.46,0.33,0.24,0.31,0.23
5738cf3d97a58,objTwoColors,#0000FF,236,233,163,4,Blue     ,Blue     ,0.55,0,0.27,0.11,0.16,0.26
57427cf6bad0c,objTwoColors,#0000FF,222,230,111,3,Blue     ,Blue     ,0.51,0.02,0.16,0.1,0.13,0.24
574297edae49c,objTwoColors,#0000FF,252,241,240,5,Blue     ,Blue     ,0.55,0.01,0.27,0.11,0.16,0.26
5744dce84ffa5,objTwoColors,#0000FF,228,227,235,2,Blue     ,Blue     ,0.53,0.01,0.22,0.1,0.14,0.25
574511e99b6d9,objTwoColors,#0000FF,283,10,244,2,Purple   ,Red      ,0.57,0.36,0.12,0.17,0.24,0.16
5745350dc1e22,objTwoColors,#0000FF,228,222,110,5,Blue     ,Blue     ,0.52,0.02,0.22,0.1,0.13,0.24
57459c393bbd0,objTwoColors,#0000FF,226,239,123,4,Blue     ,Blue     ,0.53,0,0.2,0.11,0.15,0.25
5745b5cbe3caa,objTwoColors,#0000FF,222,223,225,3,Blue     ,Blue     ,0.5,0.03,0.17,0.09,0.12,0.23
5745c1c07cc0c,objTwoColors,#0000FF,226,225,582,5,Blue     ,Blue     ,0.52,0.02,0.2,0.1,0.13,0.24
5745f6f039dc9,objTwoColors,#0000FF,140,54,387,4,Green    ,Green    ,0.52,0.54,0.04,0.21,0.36,0.26
574628a9e94a1,objTwoColors,#0000FF,300,274,196,5,Pink     ,Blue     ,0.38,0.12,0.28,0.06,0.08,0.15
