id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
571151812791a,20,Male,32,yes,objTwoColors,#80FF00,192,47,76,3,Sky-Blue ,Green    ,0.68,0.05,0.16,0.05,0.08,0.08,0.4,0.4,0.31,0.39,0.4,0.26,0.17,0.17,0.04,0.15,0.17
5711641931da5,20,Female,32,no,objTwoColors,#80FF00,64,129,646,3,Green    ,Green    ,0.53,0.02,0.22,0.11,0.2,0.18,0.26,0.28,0.29,0.29,0.28,0.66,0.37,0.37,0.49,0.39,0.37
57116b9b879bf,20,Male,32,no,objTwoColors,#80FF00,185,53,410,3,Blue     ,Green    ,0.65,0.05,0.15,0.06,0.11,0.09,0.33,0.33,0.25,0.32,0.33,0.27,0.1,0.09,0.05,0.08,0.09
571171d59aaee,21,Male,3,no,objTwoColors,#80FF00,74,124,269,1,Yellow   ,Green    ,0.56,0.02,0.25,0.11,0.21,0.2,0.23,0.24,0.27,0.25,0.24,0.67,0.36,0.37,0.51,0.38,0.37
5711760a3dfe0,21,Male,8,no,objTwoColors,#80FF00,97,100,200,5,Green    ,Green    ,0.64,0.02,0.29,0.12,0.23,0.22,0.13,0.15,0.23,0.16,0.15,0.67,0.36,0.37,0.51,0.38,0.37
57119224388ef,24,Male,31,no,objTwoColors,#80FF00,166,50,561,5,Green    ,Green    ,0.63,0.04,0.19,0.08,0.13,0.1,0.23,0.24,0.14,0.23,0.24,0.39,0.08,0.08,0.16,0.07,0.08
5711ace2ee7ed,24,Male,32,no,objTwoColors,#80FF00,59,208,123,5,Green    ,NA       ,0.49,0.04,0.22,0.03,0.07,0.1,0.55,0.56,0.55,0.56,0.56,0.93,0.64,0.64,0.73,0.64,0.64
5711cbde51bb0,24,Male,31,no,objTwoColors,#80FF00,0,159,53,4,Red      ,Green    ,0.08,0.03,0.23,0.07,0.05,0.04,0.58,0.6,0.59,0.61,0.6,0.72,0.56,0.57,0.63,0.58,0.57
571210e10d88b,23,Male,19,no,objTwoColors,#80FF00,94,0,185,5,Green    ,Red      ,0.79,0.16,0.29,0.1,0.16,0.09,0.29,0.3,0.31,0.28,0.3,0.82,0.51,0.5,0.58,0.49,0.5
571214121717c,22,Male,32,no,objTwoColors,#80FF00,54,229,121,3,Green    ,Blue     ,0.57,0.06,0.2,0.02,0.04,0.13,0.66,0.67,0.65,0.67,0.67,1.02,0.74,0.73,0.83,0.74,0.73
5712197fbccd5,24,Female,32,no,objTwoColors,#80FF00,0,63,146,4,Red      ,Green    ,0.22,0.26,0.25,0.13,0.19,0.09,0.42,0.44,0.44,0.45,0.44,0.56,0.4,0.41,0.48,0.42,0.41
57121e2a63601,21,Male,31,no,objTwoColors,#80FF00,0,0,0,1,Red      ,Red      ,0.39,0.39,0.25,0.24,0.3,0.22,0.69,0.7,0.64,0.68,0.7,0.83,0.67,0.67,0.68,0.65,0.67
57122e814fb61,26,Male,4,no,objTwoColors,#80FF00,55,198,156,4,Green    ,Navy-Blue,0.41,0.04,0.21,0.05,0.08,0.09,0.51,0.52,0.51,0.52,0.52,0.87,0.58,0.59,0.69,0.59,0.59
57123bec83e8e,21,Male,32,no,objTwoColors,#80FF00,59,214,373,3,Green    ,Blue     ,0.53,0.04,0.22,0.03,0.06,0.1,0.58,0.6,0.59,0.6,0.6,0.96,0.67,0.68,0.77,0.68,0.68
57123e4050550,20,Female,40,no,objTwoColors,#80FF00,59,202,248,4,Green    ,Navy-Blue,0.46,0.04,0.22,0.04,0.08,0.09,0.51,0.53,0.52,0.53,0.53,0.89,0.6,0.61,0.7,0.61,0.61
