id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
5713fc80c942a,23,Female,32,no,objTwoColors,#80FF00,55,181,154,5,Green    ,Blue     ,0.31,0.05,0.21,0.07,0.12,0.1,0.42,0.43,0.42,0.43,0.43,0.78,0.49,0.5,0.6,0.5,0.5
57149713464b1,51,Female,32,no,objTwoColors,#80FF00,0,0,0,1,Red      ,Red      ,0.39,0.39,0.25,0.24,0.3,0.22,0.69,0.7,0.64,0.68,0.7,0.83,0.67,0.67,0.68,0.65,0.67
5714d563c6e52,49,Female,13,no,objTwoColors,#80FF00,0,142,122,3,Red      ,Green    ,0.18,0.06,0.24,0.08,0.11,0.08,0.55,0.57,0.56,0.58,0.57,0.69,0.53,0.54,0.6,0.55,0.54
57153eb9b4bed,35,Female,31,no,objTwoColors,#80FF00,0,118,93,2,Red      ,Green    ,0.24,0.11,0.25,0.1,0.16,0.1,0.56,0.58,0.58,0.59,0.58,0.7,0.54,0.55,0.62,0.56,0.55
5716e9900f6ea,58,Female,31,no,objTwoColors,#80FF00,55,188,145,3,Green    ,Cyan     ,0.35,0.05,0.21,0.06,0.11,0.09,0.45,0.46,0.46,0.46,0.46,0.81,0.52,0.53,0.64,0.53,0.53
572baa7f9493c,20,Female,10,no,objTwoColors,#80FF00,175,63,330,3,Blue     ,Green    ,0.63,0.05,0.17,0.06,0.13,0.12,0.26,0.28,0.23,0.29,0.28,0.31,0.03,0.05,0.14,0.05,0.05
5734d89183dab,19,Female,29,no,objTwoColors,#80FF00,58,189,78,4,Green    ,Cyan     ,0.37,0.04,0.22,0.06,0.11,0.1,0.45,0.46,0.45,0.46,0.46,0.82,0.53,0.54,0.63,0.54,0.54
5739ff85289b2,56,Female,25,yes,objTwoColors,#00FF00,333,33,137,1,Magenta  ,Orange   ,0.42,0.39,0.28,0.14,0.22,0.12,0.52,0.52,0.45,0.51,0.52,0.56,0.43,0.42,0.41,0.41,0.42
573a059da0efd,31,Female,32,yes,objTwoColors,#00FF00,195,65,180,5,Sky-Blue ,Yellow   ,0.67,0.04,0.16,0.05,0.1,0.1,0.38,0.4,0.35,0.41,0.4,0.2,0.15,0.16,0.08,0.17,0.16
573c783748e8b,37,Female,32,yes,objTwoColors,#00FF00,99,110,954,4,Green    ,Green    ,0.65,0.03,0.3,0.12,0.23,0.23,0.15,0.16,0.25,0.17,0.16,0.69,0.38,0.38,0.52,0.39,0.38
573ec4275ba17,24,Female,32,yes,objTwoColors,#00FF00,216,56,391,3,Blue     ,Green    ,0.74,0.04,0.26,0.03,0.04,0.1,0.5,0.51,0.44,0.51,0.51,0.07,0.27,0.27,0.17,0.27,0.27
5740a8b59d448,31,Female,32,yes,objTwoColors,#00FF00,59,186,100,5,Green    ,Cyan     ,0.36,0.04,0.22,0.06,0.12,0.1,0.42,0.44,0.44,0.44,0.44,0.8,0.51,0.52,0.62,0.52,0.52
5740bda9be3dc,83,Female,32,yes,objTwoColors,#00FF00,57,186,105,5,Green    ,Cyan     ,0.35,0.05,0.21,0.06,0.11,0.1,0.43,0.45,0.44,0.45,0.45,0.8,0.51,0.52,0.63,0.52,0.52
5740e3f36a945,49,Female,32,yes,objTwoColors,#00FF00,97,0,154,2,Green    ,Red      ,0.8,0.16,0.29,0.1,0.15,0.09,0.28,0.29,0.31,0.27,0.29,0.82,0.51,0.51,0.59,0.49,0.51
574121b9e952d,22,Female,5,no,objTwoColors,#80FF00,59,208,117,3,Green    ,NA       ,0.49,0.04,0.22,0.03,0.07,0.1,0.55,0.56,0.55,0.56,0.56,0.93,0.64,0.64,0.73,0.64,0.64
57427cf6bad0c,19,Female,32,no,objTwoColors,#80FF00,101,103,572,1,Green    ,Green    ,0.65,0.03,0.3,0.12,0.23,0.23,0.14,0.15,0.24,0.17,0.15,0.69,0.37,0.37,0.51,0.39,0.37
574511e99b6d9,19,Female,32,no,objTwoColors,#80FF00,191,58,307,4,Sky-Blue ,Green    ,0.66,0.04,0.15,0.06,0.1,0.1,0.35,0.36,0.3,0.36,0.36,0.22,0.12,0.12,0.04,0.12,0.12
57451c3b38192,23,Female,32,no,objTwoColors,#80FF00,0,87,117,5,Red      ,DK-Green ,0.22,0.18,0.25,0.1,0.16,0.09,0.51,0.53,0.52,0.54,0.53,0.65,0.49,0.5,0.56,0.51,0.5
5745350dc1e22,19,Female,31,no,objTwoColors,#80FF00,59,183,115,5,Green    ,Blue     ,0.34,0.05,0.22,0.06,0.12,0.1,0.41,0.43,0.42,0.43,0.43,0.79,0.5,0.51,0.6,0.51,0.51
5745500f6e643,24,Female,32,no,objTwoColors,#80FF00,97,0,387,2,Green    ,Red      ,0.8,0.16,0.29,0.1,0.15,0.09,0.28,0.29,0.31,0.27,0.29,0.82,0.51,0.51,0.59,0.49,0.51
5745b5cbe3caa,34,Female,32,no,objTwoColors,#80FF00,99,49,574,2,Green    ,Green    ,0.64,0.05,0.3,0.12,0.2,0.15,0.05,0.05,0.09,0.04,0.05,0.59,0.28,0.27,0.36,0.26,0.27
5756b2d9bd658,23,Female,32,yes,objTwoColors,#00FF00,57,201,83,5,Green    ,Navy-Blue,0.44,0.04,0.21,0.04,0.08,0.09,0.51,0.53,0.52,0.53,0.53,0.88,0.59,0.6,0.71,0.6,0.6
