id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
57123bec83e8e,objTwoColors,#80FF00,59,214,373,3,Green    ,Blue     ,0.53,0.04,0.22,0.03,0.06,0.1,0.58,0.6,0.59,0.6,0.6,0.96,0.67,0.68,0.77,0.68,0.68
57123e4050550,objTwoColors,#80FF00,59,202,248,4,Green    ,Navy-Blue,0.46,0.04,0.22,0.04,0.08,0.09,0.51,0.53,0.52,0.53,0.53,0.89,0.6,0.61,0.7,0.61,0.61
571247f66fb51,objTwoColors,#80FF00,94,105,268,5,Green    ,Green    ,0.63,0.02,0.29,0.12,0.23,0.22,0.15,0.17,0.23,0.18,0.17,0.68,0.37,0.37,0.5,0.39,0.37
571252e6d2e70,objTwoColors,#80FF00,55,188,132,5,Green    ,Cyan     ,0.35,0.05,0.21,0.06,0.11,0.09,0.45,0.46,0.46,0.46,0.46,0.81,0.52,0.53,0.64,0.53,0.53
571260c120253,objTwoColors,#80FF00,172,57,147,2,Green    ,Green    ,0.63,0.04,0.17,0.06,0.12,0.11,0.24,0.25,0.18,0.25,0.25,0.33,0.02,0.03,0.13,0.02,0.03
57127bcfaafb0,objTwoColors,#80FF00,50,194,206,4,Green    ,Sky-Blue ,0.37,0.05,0.19,0.05,0.08,0.08,0.5,0.52,0.51,0.53,0.52,0.84,0.56,0.57,0.67,0.58,0.57
5712bd55a8a13,objTwoColors,#80FF00,57,204,201,3,Green    ,Navy-Blue,0.46,0.04,0.21,0.04,0.07,0.09,0.53,0.55,0.53,0.55,0.55,0.9,0.61,0.62,0.72,0.62,0.62
5712c2b021f58,objTwoColors,#80FF00,182,55,116,5,Blue     ,Green    ,0.64,0.05,0.15,0.06,0.12,0.1,0.3,0.32,0.24,0.31,0.32,0.28,0.08,0.08,0.07,0.07,0.08
5713923c1bbc7,objTwoColors,#80FF00,351,290,845,2,Red      ,Navy-Blue,0.26,0.37,0.19,0.14,0.17,0.17,0.8,0.82,0.78,0.81,0.82,0.93,0.78,0.78,0.81,0.78,0.78
5713b10383207,objTwoColors,#80FF00,181,59,146,4,Blue     ,Green    ,0.64,0.05,0.15,0.06,0.12,0.1,0.28,0.3,0.24,0.31,0.3,0.27,0.05,0.06,0.09,0.07,0.06
5713d766113e9,objTwoColors,#80FF00,203,54,478,5,Navy-Blue,Green    ,0.7,0.04,0.19,0.04,0.07,0.09,0.43,0.44,0.36,0.43,0.44,0.15,0.2,0.2,0.08,0.19,0.2
5713fc80c942a,objTwoColors,#80FF00,55,181,154,5,Green    ,Blue     ,0.31,0.05,0.21,0.07,0.12,0.1,0.42,0.43,0.42,0.43,0.43,0.78,0.49,0.5,0.6,0.5,0.5
571534076a966,objTwoColors,#80FF00,16,61,554,3,Red      ,Green    ,0.26,0.21,0.22,0.13,0.18,0.09,0.38,0.38,0.39,0.39,0.38,0.55,0.37,0.36,0.44,0.38,0.36
5716e9900f6ea,objTwoColors,#80FF00,55,188,145,3,Green    ,Cyan     ,0.35,0.05,0.21,0.06,0.11,0.09,0.45,0.46,0.46,0.46,0.46,0.81,0.52,0.53,0.64,0.53,0.53
57190633f233f,objTwoColors,#80FF00,56,247,206,4,Green    ,Blue     ,0.59,0.36,0.21,0.03,0.06,0.13,0.67,0.68,0.66,0.67,0.68,1.03,0.74,0.75,0.84,0.74,0.75
572106a31c230,objTwoColors,#80FF00,197,57,315,3,LI-Blue  ,Green    ,0.67,0.04,0.17,0.05,0.09,0.09,0.38,0.4,0.33,0.4,0.4,0.18,0.15,0.16,0.06,0.15,0.16
572baa7f9493c,objTwoColors,#80FF00,175,63,330,3,Blue     ,Green    ,0.63,0.05,0.17,0.06,0.13,0.12,0.26,0.28,0.23,0.29,0.28,0.31,0.03,0.05,0.14,0.05,0.05
