id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57123bec83e8e,twoColorsObj,#00FF00,#FF00FF,#FF0000,52,2,NA       ,0.37,0.07,0.37,0.07,0.07,0.15,0.18,0.15
57123e4050550,twoColorsObj,#00FF00,#FF00FF,#c9ab00,31,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
571243bcc8142,twoColorsObj,#00FF00,#FF00FF,#808080,213,2,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
571247f66fb51,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,106,5,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
571252e6d2e70,twoColorsObj,#00FF00,#FF00FF,#c9ab00,471,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
571260c120253,twoColorsObj,#00FF00,#FF00FF,#808000,106,2,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
57127bcfaafb0,twoColorsObj,#00FF00,#FF00FF,#800080,242,2,NA       ,0.16,0.26,0.16,0.26,0.28,0.12,0.11,0.13
57127cb3ab1fe,twoColorsObj,#00FF00,#FF00FF,#c6aeff,714,1,NA       ,0.17,0.25,0.17,0.25,0.28,0.09,0.06,0.1
5712bd55a8a13,twoColorsObj,#00FF00,#FF00FF,#FF8000,678,1,NA       ,0.35,0.07,0.35,0.07,0.1,0.11,0.14,0.1
5712c2b021f58,twoColorsObj,#00FF00,#FF00FF,#808000,38,2,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5712c57f97f25,twoColorsObj,#00FF00,#FF00FF,#808080,14,3,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5713923c1bbc7,twoColorsObj,#00FF00,#FF00FF,#7f00ff,205,2,NA       ,0.05,0.37,0.05,0.37,0.39,0.21,0.19,0.22
5713acb331c3c,twoColorsObj,#00FF00,#FF00FF,#FB0080,66,1,NA       ,0.28,0.14,0.28,0.14,0.16,0.09,0.11,0.1
5713b10383207,twoColorsObj,#00FF00,#FF00FF,#00FFFF,475,2,NA       ,0.21,0.26,0.21,0.26,0.29,0.09,0.06,0.09
5713b961c216a,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,5,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5713d766113e9,twoColorsObj,#00FF00,#FF00FF,#0080FF,41,3,Sky-Blue ,0.08,0.35,0.08,0.35,0.37,0.18,0.16,0.19
5713dd915ca28,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,951,1,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
5713ddde59251,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,0,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5713e73998df9,twoColorsObj,#00FF00,#FF00FF,#800080,156,2,NA       ,0.16,0.26,0.16,0.26,0.28,0.12,0.11,0.13
5713fc80c942a,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,301,1,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
57142079d871e,twoColorsObj,#00FF00,#FF00FF,#5792ff,3,1,Sky-Blue ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
5714c6c26c2f6,twoColorsObj,#00FF00,#FF00FF,#008080,738,3,NA       ,0.21,0.26,0.21,0.26,0.29,0.09,0.06,0.09
5714dc153397f,twoColorsObj,#00FF00,#FF00FF,#8000FF,189,1,NA       ,0.05,0.37,0.05,0.37,0.39,0.21,0.19,0.22
571534076a966,twoColorsObj,#00FF00,#FF00FF,#FF0050,1432,3,NA       ,0.33,0.1,0.33,0.1,0.11,0.12,0.15,0.12
57153eb9b4bed,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,319,2,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
5716e9900f6ea,twoColorsObj,#00FF00,#FF00FF,#91c01d,479,1,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
57190633f233f,twoColorsObj,#00FF00,#FF00FF,#91c01d,182,3,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
572106a31c230,twoColorsObj,#00FF00,#FF00FF,#808080,264,3,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5727633cd6511,twoColorsObj,#00FF00,#FF00FF,#008080,73,1,NA       ,0.21,0.26,0.21,0.26,0.29,0.09,0.06,0.09
5727635041e99,twoColorsObj,#00FF00,#FF00FF,#FFFF00,300,2,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5727d86840dc8,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,301,3,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5727e49793f7b,twoColorsObj,#00FF00,#FF00FF,#00FFFF,112,2,NA       ,0.21,0.26,0.21,0.26,0.29,0.09,0.06,0.09
5727f6d19e901,twoColorsObj,#00FF00,#FF00FF,#91c01d,291,2,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
572a7874c1e2e,twoColorsObj,#00FF00,#FF00FF,#aeff00,1,5,NA       ,0.36,0.16,0.36,0.16,0.2,0.12,0.13,0.11
572baa7f9493c,twoColorsObj,#00FF00,#FF00FF,#c9ab00,445,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5734918f46823,twoColorsObj,#00FF00,#FF00FF,#FF0050,83,1,NA       ,0.33,0.1,0.33,0.1,0.11,0.12,0.15,0.12
5734b3efd45eb,twoColorsObj,#00FF00,#FF00FF,#ca0088,456,2,NA       ,0.23,0.19,0.23,0.19,0.2,0.09,0.09,0.09
5734d81ba001b,twoColorsObj,#00FF00,#FF00FF,#7f00ff,519,1,NA       ,0.05,0.37,0.05,0.37,0.39,0.21,0.19,0.22
5734d89183dab,twoColorsObj,#00FF00,#FF00FF,#808000,81,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
