id;date;age;gender;academic_degree;nationality;country_residence;language;num_answers;in_person;time_spent;numBlackSquare;wordBlackSquare;numWhiteSquare;wordWhiteSquare;dimensions;available_dim;color_depth;plate_one;plate_two;plate_three;plate_four;plate_five;plate_six
57113de4aed1a;15-Apr-2016 20:15:48 WEST;21;Male;High-School;portuguese;PT;pt;31;no;12;10;hello;8;illusion;1366x768;1366x728;24;12;29;74;45;26;35
57113e6176346;15-Apr-2016 20:17:53 WEST;23;Female;Bachelor Degree;turkish;TR;tr;30;no;9;10;hello;8;illusion;1366x768;1366x728;24;12;29;74;45;26;35
5734d89183dab;12-May-2016 20:25:05 WEST;19;Female;High-School;british;GB;en;29;no;0;10;hello;10;cure;;;;12;29;74;45;26;35
5713923c1bbc7;17-Apr-2016 14:40:12 WEST;24;Female;Bachelor Degree;portuguese;PT;pt;27;no;-2;10;hello;10;cure;1920x1080;1920x1050;24;12;29;74;45;26;35
571137a34931a;15-Apr-2016 19:49:07 WEST;27;Female;Master Degree;portuguese;PT;pt;25;no;-45;10;Hello;10;Cure;768x1024;1024x748;32;12;29;74;45;26;35
57112a657ac25;15-Apr-2016 18:52:37 WEST;20;Female;College;portuguese;PT;pt;24;no;-50;10;hello;9;friday;1366x768;1366x720;24;12;29;74;45;26;35
5711148c11035;15-Apr-2016 17:19:24 WEST;35;Male;College;portuguese;PT;pt;22;no;27;10;Hello;9;Friday;360x640;360x640;32;12;29;74;45;26;35
5713dd915ca28;17-Apr-2016 20:01:37 WEST;24;Female;Bachelor Degree;portuguese;PT;pt;20;no;9;10;hello;10;cure;1366x768;1315x744;24;12;29;74;45;26;35
571210e10d88b;16-Apr-2016 11:16:01 WEST;23;Male;Master Degree;portuguese;PT;pt;19;no;15;10;hello;10;cure;360x640;360x640;32;12;29;74;45;26;35
5710d9dcc23f0;15-Apr-2016 13:09:00 WEST;21;Male;Bachelor Degree;portuguese;PT;pt;18;no;9;10;NONE;10;NONE;1280x800;1280x773;24;12;29;74;45;26;35
573664e1a4a96;14-May-2016 0:36:01 WEST;49;Male;High-School;british;GB;en;18;no;0;10;hello;9;friday;1366x768;1304x768;24;12;29;74;45;26;35
5712a254e00f7;16-Apr-2016 21:36:36 WEST;18;Female;High-School;portuguese;PT;pt;18;no;8;10;hello;10;cure;1366x768;1304x768;24;12;29;74;45;26;35
57122801e1da9;16-Apr-2016 12:54:41 WEST;23;Male;High-School;portuguese;PT;pt;17;no;-54;9;world;8;illusion;1366x768;1366x768;24;12;29;74;45;28;35
