id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,page_time,rating,resets,id_question
5716e9900f6ea,58,Female,31,no,objTwoColors,#0000FF,184,317,164,26,3,0,7
5739ff85289b2,56,Female,25,yes,objTwoColors,#6C00FF,310,173,7,21,1,0,7
571163013744e,53,Female,13,no,objTwoColors,#FF0000,52,18,41,36,3,0,8
5710e540a9514,52,Female,32,no,objTwoColors,#FF0000,308,57,143,31,4,0,8
57149713464b1,51,Female,32,no,objTwoColors,#FF0000,0,0,0,1,1,0,8
5739ff85289b2,56,Female,25,yes,objTwoColors,#FF0000,150,35,54,33,2,0,8
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF0000,32,220,473,81,1,0,8
571289ef76e18,55,Female,31,no,objTwoColors,#FF0000,53,37,85,37,5,0,8
5716e9900f6ea,58,Female,31,no,objTwoColors,#FF0000,56,310,280,88,3,0,8
57363b3954a26,55,Male,16,no,objTwoColors,#00FF80,187,63,241,32,3,0,9
57149713464b1,51,Female,32,no,objTwoColors,#00FF80,0,0,0,1,1,0,9
5710e540a9514,52,Female,32,no,objTwoColors,#00FF80,130,0,158,18,4,0,9
5716e9900f6ea,58,Female,31,no,objTwoColors,#00FF80,221,65,769,177,3,0,9
571289ef76e18,55,Female,31,no,objTwoColors,#00FF80,173,67,654,48,4,0,9
5711800f2c5f3,59,Female,31,no,objTwoColors,#00FF80,198,48,117,31,4,0,9
5739ff85289b2,56,Female,25,yes,objTwoColors,#0000FF,55,110,101,41,3,0,10
57149713464b1,51,Female,32,no,objTwoColors,#0080FF,0,0,0,3,1,0,10
5716e9900f6ea,58,Female,31,no,objTwoColors,#0080FF,217,182,135,28,3,0,10
5711800f2c5f3,59,Female,31,no,objTwoColors,#0080FF,157,278,847,142,1,0,10
571163013744e,53,Female,13,no,objTwoColors,#0080FF,197,307,17,30,2,0,10
57363b3954a26,55,Male,16,no,objTwoColors,#0080FF,210,0,78,19,5,0,10
5710e540a9514,52,Female,32,no,objTwoColors,#0080FF,218,0,81,18,4,0,10
571289ef76e18,55,Female,31,no,objTwoColors,#0080FF,113,48,183,13,4,0,10
5710e540a9514,52,Female,32,no,objTwoColors,#FF8000,7,56,87,12,4,0,11
57149713464b1,51,Female,32,no,objTwoColors,#FF8000,0,0,0,3,1,0,11
5739ff85289b2,56,Female,25,yes,objTwoColors,#FF7200,213,58,123,42,2,0,11
5716e9900f6ea,58,Female,31,no,objTwoColors,#FF8000,55,15,73,32,4,0,11
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF8000,1,56,39,17,4,0,11
571289ef76e18,55,Female,31,no,objTwoColors,#FF8000,56,350,128,9,4,0,11
571289ef76e18,55,Female,31,no,objTwoColors,#80FF00,249,58,214,44,5,0,12
5716e9900f6ea,58,Female,31,no,objTwoColors,#80FF00,58,188,143,57,4,0,12
5711800f2c5f3,59,Female,31,no,objTwoColors,#80FF00,184,55,121,34,3,0,12
5710e540a9514,52,Female,32,no,objTwoColors,#80FF00,59,191,171,19,4,0,12
57116ce8cf9e5,50,Female,7,no,objTwoColors,#80FF00,0,121,174,19,2,0,12
5739ff85289b2,56,Female,25,yes,objTwoColors,#00FF00,17,33,40,23,3,0,12
57149713464b1,51,Female,32,no,objTwoColors,#80FF00,0,0,0,12,1,1,12
5739ff85289b2,56,Female,25,yes,objTwoColors,#0000FF,82,52,8,18,3,0,13
571289ef76e18,55,Female,31,no,objTwoColors,#0080FF,183,302,143,57,5,0,13
5711800f2c5f3,59,Female,31,no,objTwoColors,#0080FF,165,286,261,55,2,0,13
5710e540a9514,52,Female,32,no,objTwoColors,#0080FF,226,0,86,12,4,0,13
57149713464b1,51,Female,32,no,objTwoColors,#0080FF,0,0,0,15,1,0,13
5716e9900f6ea,58,Female,31,no,objTwoColors,#0080FF,182,317,153,74,3,0,13
57116ce8cf9e5,50,Female,7,no,objTwoColors,#0080FF,0,223,86,11,4,0,13
57363b3954a26,55,Male,16,no,objTwoColors,#8000FF,216,317,448,51,1,0,14
5711800f2c5f3,59,Female,31,no,objTwoColors,#8000FF,221,322,183,34,3,0,14
5716e9900f6ea,58,Female,31,no,objTwoColors,#8000FF,225,4,228,61,3,0,14
571289ef76e18,55,Female,31,no,objTwoColors,#8000FF,236,354,170,16,5,0,14
571163013744e,53,Female,13,no,objTwoColors,#8000FF,226,350,8,13,5,0,14
5739ff85289b2,56,Female,25,yes,objTwoColors,#B100FF,308,319,11,22,2,0,14
5710e540a9514,52,Female,32,no,objTwoColors,#8000FF,238,300,311,28,1,0,14
57149713464b1,51,Female,32,no,objTwoColors,#8000FF,0,0,0,1,1,0,14
5711800f2c5f3,59,Female,31,no,objTwoColors,#00FF80,212,52,116,27,3,0,15
57116ce8cf9e5,50,Female,7,no,objTwoColors,#00FF80,0,136,236,22,4,0,15
5716e9900f6ea,58,Female,31,no,objTwoColors,#00FF80,55,184,133,51,3,0,15
57149713464b1,51,Female,32,no,objTwoColors,#00FF80,0,0,0,1,1,0,15
571289ef76e18,55,Female,31,no,objTwoColors,#00FF80,68,214,500,26,4,0,15
5710e540a9514,52,Female,32,no,objTwoColors,#00FF80,179,53,221,45,4,0,15
57363b3954a26,55,Male,16,no,objTwoColors,#00FF80,188,65,338,40,3,0,15
5716e9900f6ea,58,Female,31,no,objTwoColors,#FF007F,223,10,115,31,4,0,16
5739ff85289b2,56,Female,25,yes,objTwoColors,#FF007A,111,33,10,28,2,0,16
571289ef76e18,55,Female,31,no,objTwoColors,#FF007F,211,258,266,22,4,0,16
5710e540a9514,52,Female,32,no,objTwoColors,#FF007F,9,0,9,12,4,0,16
57149713464b1,51,Female,32,no,objTwoColors,#FF007F,0,0,0,1,1,0,16
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF007F,5,201,198,63,2,0,16
57363b3954a26,55,Male,16,no,objTwoColors,#FF007F,358,196,248,23,2,0,16
5716e9900f6ea,58,Female,31,no,objTwoColors,#00FF00,182,59,156,26,3,0,17
57149713464b1,51,Female,32,no,objTwoColors,#00FF00,0,0,0,1,1,0,17
571289ef76e18,55,Female,31,no,objTwoColors,#00FF00,53,190,105,22,5,0,17
5739ff85289b2,56,Female,25,yes,objTwoColors,#00FF00,76,102,15,36,4,0,17
5710e540a9514,52,Female,32,no,objTwoColors,#00FF00,201,55,159,13,4,0,17
5711800f2c5f3,59,Female,31,no,objTwoColors,#00FF00,206,59,115,25,4,0,17
5710e540a9514,52,Female,32,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,502,75,4,0,18
5711541e3ef89,53,Male,2,no,twoColorsObj,#FF0000,#00FF00,#808000,701,293,3,0,18
5711800f2c5f3,59,Female,31,no,twoColorsObj,#FF0000,#00FF00,#808000,72,30,3,0,18
571289ef76e18,55,Female,31,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,348,38,5,0,18
57149713464b1,51,Female,32,no,twoColorsObj,#FF0000,#00FF00,#FFFFFF,0,2,1,0,18
5716e9900f6ea,58,Female,31,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,583,62,3,0,18
5739ff85289b2,56,Female,25,yes,twoColorsObj,#FF0000,#00FF00,#998077,8,11,3,0,18
57149713464b1,51,Female,32,no,twoColorsObj,#FF0000,#0000FF,#FFFFFF,0,1,1,0,19
5716e9900f6ea,58,Female,31,no,twoColorsObj,#FF0000,#0000FF,#FF00FF,250,35,3,0,19
5710e540a9514,52,Female,32,no,twoColorsObj,#FF0000,#0000FF,#7f00ff,116,12,4,0,19
571163013744e,53,Female,13,no,twoColorsObj,#FF0000,#0000FF,#FB0080,45,28,2,0,19
5711800f2c5f3,59,Female,31,no,twoColorsObj,#FF0000,#0000FF,#7d93a6,959,124,2,0,19
571289ef76e18,55,Female,31,no,twoColorsObj,#FF0000,#0000FF,#7f00ff,286,18,5,0,19
5739ff85289b2,56,Female,25,yes,twoColorsObj,#FF0000,#0000FF,#6500FF,8,33,2,0,19
5739ff85289b2,56,Female,25,yes,twoColorsObj,#00FF00,#0000FF,#FAFF00,45,29,3,0,20
57149713464b1,51,Female,32,no,twoColorsObj,#00FF00,#0000FF,#FFFFFF,0,3,1,0,20
57363b3954a26,55,Male,16,no,twoColorsObj,#00FF00,#0000FF,#008080,132,30,3,0,20
57142079d871e,51,Male,8,no,twoColorsObj,#00FF00,#0000FF,#808080,107,9,1,0,20
5716e9900f6ea,58,Female,31,no,twoColorsObj,#00FF00,#0000FF,#008080,144,46,3,0,20
5711800f2c5f3,59,Female,31,no,twoColorsObj,#00FF00,#0000FF,#7f00ff,128,21,3,0,20
571289ef76e18,55,Female,31,no,twoColorsObj,#00FF00,#0000FF,#c9ab00,286,22,4,0,20
5710e540a9514,52,Female,32,no,twoColorsObj,#00FF00,#0000FF,#91c01d,176,24,1,0,20
571289ef76e18,55,Female,31,no,twoColorsObj,#FF0000,#00FFFF,#7f00ff,263,198,5,1,21
5711541e3ef89,53,Male,2,no,twoColorsObj,#FF0000,#00FFFF,#808080,247,184,2,0,21
5739ff85289b2,56,Female,25,yes,twoColorsObj,#FF0000,#00FFFF,#008788,1,9,2,0,21
57149713464b1,51,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#FFFFFF,0,1,1,0,21
571534076a966,52,Male,9,no,twoColorsObj,#FF0000,#00FFFF,#91c01d,176,8,3,0,21
5716e9900f6ea,58,Female,31,no,twoColorsObj,#FF0000,#00FFFF,#8000FF,347,162,3,0,21
5711800f2c5f3,59,Female,31,no,twoColorsObj,#FF0000,#00FFFF,#008080,97,31,3,0,21
57142079d871e,51,Male,8,no,twoColorsObj,#FF0000,#00FFFF,#008080,1,4,3,0,21
57116ce8cf9e5,50,Female,7,no,twoColorsObj,#FF0000,#00FFFF,#91c01d,135,21,3,0,21
5710e540a9514,52,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,94,15,4,0,21
57363b3954a26,55,Male,16,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,342,48,2,0,21
5716e9900f6ea,58,Female,31,no,twoColorsObj,#FF0000,#FF00FF,#FF0050,608,152,3,0,22
57142079d871e,51,Male,8,no,twoColorsObj,#FF0000,#FF00FF,#B000FF,2,4,2,0,22
57149713464b1,51,Female,32,no,twoColorsObj,#FF0000,#FF00FF,#FFFFFF,0,1,1,0,22
5710e540a9514,52,Female,32,no,twoColorsObj,#FF0000,#FF00FF,#FF0050,93,101,3,0,22
571289ef76e18,55,Female,31,no,twoColorsObj,#FF0000,#FF00FF,#008080,270,26,5,0,22
571534076a966,52,Male,9,no,twoColorsObj,#FF0000,#FF00FF,#FF0000,81,79,3,0,22
57363b3954a26,55,Male,16,no,twoColorsObj,#FF0000,#FF00FF,#ff0087,147,26,2,0,22
5711800f2c5f3,59,Female,31,no,twoColorsObj,#FF0000,#FF00FF,#008080,92,26,3,0,22
57116ce8cf9e5,50,Female,7,no,twoColorsObj,#FF0000,#FF00FF,#FF0050,54,12,3,0,22
5716e9900f6ea,58,Female,31,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,33,12,5,0,23
5711800f2c5f3,59,Female,31,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,44,15,4,0,23
5710e540a9514,52,Female,32,no,twoColorsObj,#FF0000,#FFFF00,#FF8000,24,6,4,0,23
57149713464b1,51,Female,32,no,twoColorsObj,#FF0000,#FFFF00,#FFFFFF,0,5,1,0,23
571289ef76e18,55,Female,31,no,twoColorsObj,#FF0000,#FFFF00,#FF9F00,31,7,5,0,23
57142079d871e,51,Male,8,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,40,6,4,0,23
571163013744e,53,Female,13,no,twoColorsObj,#FF0000,#FFFF00,#FF8000,5,5,5,0,23
5711800f2c5f3,59,Female,31,no,twoColorsObj,#00FFFF,#FF00FF,#7d93a6,97,28,3,0,24
5716e9900f6ea,58,Female,31,no,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,131,174,5,0,24
571289ef76e18,55,Female,31,no,twoColorsObj,#00FFFF,#FF00FF,#008080,495,31,4,0,24
57149713464b1,51,Female,32,no,twoColorsObj,#00FFFF,#FF00FF,#FFFFFF,0,1,1,0,24
57142079d871e,51,Male,8,no,twoColorsObj,#00FFFF,#FF00FF,#800080,155,23,1,0,24
5710e540a9514,52,Female,32,no,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,106,159,4,0,24
5739ff85289b2,56,Female,25,yes,twoColorsObj,#00FFFF,#FF00FF,#8342FF,169,34,2,0,24
571534076a966,52,Male,9,no,twoColorsObj,#00FFFF,#FF00FF,#80FF00,209,13,3,0,24
571289ef76e18,55,Female,31,no,twoColorsObj,#FF00FF,#FFFF00,#FF0050,1531,330,4,14,25
5711800f2c5f3,59,Female,31,no,twoColorsObj,#FF00FF,#FFFF00,#FF8080,619,108,2,0,25
5710e540a9514,52,Female,32,no,twoColorsObj,#FF00FF,#FFFF00,#008080,88,50,1,0,25
57363b3954a26,55,Male,16,no,twoColorsObj,#FF00FF,#FFFF00,#c9ab00,237,53,3,0,25
5716e9900f6ea,58,Female,31,no,twoColorsObj,#FF00FF,#FFFF00,#ffa100,711,304,5,0,25
57149713464b1,51,Female,32,no,twoColorsObj,#FF00FF,#FFFF00,#FFFFFF,0,1,1,0,25
571163013744e,53,Female,13,no,twoColorsObj,#00FF00,#00FFFF,#00caff,37,207,3,0,26
571289ef76e18,55,Female,31,no,twoColorsObj,#00FF00,#00FFFF,#0000FF,73,17,4,0,26
571534076a966,52,Male,9,no,twoColorsObj,#00FF00,#00FFFF,#00FF00,139,29,3,0,26
5711800f2c5f3,59,Female,31,no,twoColorsObj,#00FF00,#00FFFF,#91c01d,327,67,2,0,26
57363b3954a26,55,Male,16,no,twoColorsObj,#00FF00,#00FFFF,#46ff9c,123,30,3,0,26
5710e540a9514,52,Female,32,no,twoColorsObj,#00FF00,#00FFFF,#91c01d,154,20,1,0,26
5739ff85289b2,56,Female,25,yes,twoColorsObj,#00FF00,#00FFFF,#FAFF00,13,14,4,0,26
57149713464b1,51,Female,32,no,twoColorsObj,#00FF00,#00FFFF,#FFFFFF,0,7,1,0,26
571289ef76e18,55,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#0000FF,390,248,4,0,27
5710e540a9514,52,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#8080FF,90,219,1,0,27
57142079d871e,51,Male,8,no,twoColorsObj,#00FF00,#FF00FF,#5792ff,3,6,1,0,27
57116ce8cf9e5,50,Female,7,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,437,785,2,0,27
571163013744e,53,Female,13,no,twoColorsObj,#00FF00,#FF00FF,#7f00ff,3,62,3,0,27
5716e9900f6ea,58,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,479,816,1,0,27
5711800f2c5f3,59,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#808000,265,53,5,0,27
