id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
57119224388ef,24,Male,31,no,objTwoColors,#80FF00,57,276,204,5,Green    ,Blue     ,0.59,0.37,0.22,0.16,0.26,0.25,0.67,0.68,0.77,0.68,0.68,0.96,0.54,0.55
5711ace2ee7ed,24,Male,32,no,objTwoColors,#80FF00,57,184,106,4,Green    ,Blue     ,0.42,0.05,0.22,0.11,0.11,0.14,0.5,0.51,0.62,0.51,0.51,0.79,0.34,0.35
5711cbde51bb0,24,Male,31,no,objTwoColors,#80FF00,64,214,372,4,Green    ,Blue     ,0.56,0.05,0.25,0.16,0.17,0.21,0.67,0.67,0.77,0.68,0.67,0.96,0.55,0.55
571210e10d88b,23,Male,19,no,objTwoColors,#80FF00,138,53,873,4,Green    ,Green    ,0.07,0.02,0.29,0.05,0.03,0.03,0.23,0.22,0.32,0.21,0.22,0.54,0.65,0.65
571214121717c,22,Male,32,no,objTwoColors,#80FF00,187,58,95,5,Cyan     ,Green    ,0.32,0.04,0.16,0.11,0.11,0.14,0.09,0.1,0.06,0.09,0.1,0.24,0.65,0.65
57121e2a63601,21,Male,31,no,objTwoColors,#80FF00,300,147,30,1,Pink     ,NA       ,0.57,0.51,0.33,0.19,0.32,0.25,0.36,0.37,0.33,0.38,0.37,0.33,0.52,0.53
57122801e1da9,23,Male,17,no,objTwoColors,#80FF00,53,206,126,3,Green    ,Navy-Blue,0.56,0.04,0.21,0.14,0.16,0.2,0.63,0.63,0.73,0.64,0.63,0.91,0.45,0.46
57123bec83e8e,21,Male,32,no,objTwoColors,#80FF00,329,329,2,4,Magenta  ,Magenta  ,0.64,0.36,0.29,0.28,0.35,0.33,0.53,0.54,0.53,0.53,0.54,0.64,0.44,0.44
571243bcc8142,24,Male,12,no,objTwoColors,#80FF00,57,122,257,5,Green    ,Green    ,0.29,0,0.21,0.04,0.01,0.01,0.37,0.38,0.51,0.39,0.38,0.66,0.51,0.52
571247f66fb51,27,Male,32,no,objTwoColors,#80FF00,143,62,683,5,Green    ,Green    ,0.07,0.03,0.28,0.07,0.03,0.03,0.19,0.2,0.32,0.21,0.2,0.5,0.63,0.63
571260c120253,22,Male,32,no,objTwoColors,#80FF00,187,44,95,3,Cyan     ,Yellow   ,0.38,0.04,0.16,0.11,0.13,0.16,0.15,0.16,0.07,0.14,0.16,0.3,0.68,0.67
