id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12,distance_pair13
57138ac176750,objTwoColors,#00FF00,203,67,625,5,Navy-Blue,Yellow   ,0.21,0.03,0.13,0.04,0.07,0.09,0.44,0.45,0.41,0.46,0.45,0.62,0.63,0.67,0.63,0.63,0.68,0.69,0.16
5713923c1bbc7,objTwoColors,#00FF00,59,174,122,2,Green    ,Blue     ,0.46,0.02,0.14,0.03,0.03,0.02,0.37,0.39,0.38,0.39,0.39,0.15,0.16,0.23,0.16,0.16,0.3,0.3,0.75
5713b10383207,objTwoColors,#00FF00,215,58,700,5,Blue     ,Green    ,0.26,0.03,0.19,0.05,0.11,0.12,0.49,0.5,0.45,0.5,0.5,0.7,0.71,0.73,0.71,0.71,0.73,0.74,0.07
5713fc80c942a,objTwoColors,#00FF00,54,187,116,5,Green    ,Cyan     ,0.53,0.02,0.13,0.03,0.05,0.05,0.45,0.47,0.45,0.47,0.47,0.23,0.25,0.17,0.24,0.25,0.34,0.35,0.81
571410751e7b0,objTwoColors,#00FF00,59,19,321,2,Green    ,Red      ,0.44,0.23,0.13,0.15,0.18,0.14,0.35,0.36,0.32,0.35,0.36,0.48,0.48,0.52,0.49,0.48,0.63,0.62,0.73
5716e9900f6ea,objTwoColors,#00FF00,182,59,156,3,Blue     ,Green    ,0.06,0.02,0.07,0.03,0.03,0.04,0.28,0.31,0.25,0.32,0.31,0.5,0.52,0.53,0.52,0.52,0.64,0.65,0.26
57190633f233f,objTwoColors,#00FF00,57,200,176,4,Green    ,Navy-Blue,0.59,0.02,0.14,0.03,0.07,0.08,0.51,0.53,0.51,0.53,0.53,0.3,0.32,0.19,0.31,0.32,0.43,0.45,0.88
57276731cfba9,objTwoColors,#00FF00,175,58,409,3,Blue     ,Green    ,0.03,0.02,0.07,0.04,0.03,0.02,0.26,0.27,0.21,0.27,0.27,0.47,0.48,0.49,0.48,0.48,0.63,0.64,0.31
57277ba3c5a5c,objTwoColors,#00FF00,59,194,158,5,Green    ,Sky-Blue ,0.55,0.02,0.14,0.02,0.05,0.06,0.46,0.48,0.48,0.49,0.48,0.26,0.27,0.15,0.27,0.27,0.41,0.41,0.84
572934019041e,objTwoColors,#00FF00,233,57,115,4,Blue     ,Green    ,0.33,0.07,0.29,0.06,0.18,0.17,0.56,0.57,0.5,0.57,0.57,0.77,0.78,0.8,0.78,0.78,0.77,0.78,0.01
5734918f46823,objTwoColors,#00FF00,59,181,95,4,Green    ,Blue     ,0.49,0.02,0.14,0.03,0.03,0.03,0.4,0.42,0.41,0.42,0.42,0.18,0.19,0.19,0.19,0.19,0.33,0.33,0.78
