id;date;age;gender;academic_degree;nationality;country_residence;language;num_answers;in_person;time_spent;numBlackSquare;wordBlackSquare;numWhiteSquare;wordWhiteSquare;dimensions;available_dim;color_depth;plate_one;plate_two;plate_three;plate_four;plate_five;plate_six
5740bda9be3dc;21-May-2016 20:57:29 WEST;83;Female;Ensino Superior - Licenciatura;portuguese;PT;pt;32;yes;21;10;hello;9;friday;1440x900;1440x848;24;12;29;74;45;26;35
5740e3f36a945;21-May-2016 23:40:51 WEST;49;Female;Ensino Superior - Licenciatura;portuguese;PT;pt;32;yes;0;10;hello;10;cure;1440x900;1440x825;24;12;29;74;45;26;35
574859b8f3379;27-May-2016 15:29:13 WEST;30;Male;Ensino Superior - Mestrado;portuguese;PT;pt;32;yes;15;10;hello;10;cure;1440x900;1440x848;24;12;29;74;45;26;35
572767049ccfa;2-May-2016 15:41:08 WEST;24;Male;Ensino Superior - Mestrado;portuguese;PT;pt;32;yes;15;10;hello;10;cure;1440x900;1440x848;24;12;29;74;45;26;35
5756ab1701ba0;7-Jun-2016 12:08:07 WEST;21;Male;Ensino Superior - Licenciatura;portuguese;PT;pt;32;yes;12;10;hello;10;cure;1440x900;1440x825;24;12;29;21;1;28;35
5756ae6897296;7-Jun-2016 12:22:16 WEST;21;Male;Ensino Superior - Licenciatura;portuguese;PT;pt;32;yes;12;10;hello;10;cure;1440x900;1440x848;24;12;29;74;45;26;35
5756b2d9bd658;7-Jun-2016 12:41:13 WEST;23;Female;Ensino Superior - Licenciatura;portuguese;PT;pt;32;yes;12;9;world;8;illusion;1440x900;1440x848;24;12;29;74;45;26;35
5757fd2703090;8-Jun-2016 12:10:31 WEST;22;Male;Ensino Superior - Licenciatura;portuguese;PT;pt;32;yes;12;9;world;10;cure;1440x900;1440x825;24;12;29;74;45;26;35
5757ffca0b4b1;8-Jun-2016 12:21:46 WEST;24;Male;Ensino Superior - Licenciatura;portuguese;PT;pt;32;yes;12;10;hello;10;cure;1440x900;1440x825;24;12;29;74;45;26;35
57581518c2c07;8-Jun-2016 13:52:40 WEST;25;Male;Ensino Superior - Mestrado;portuguese;PT;pt;32;yes;14;10;Hello;9;friday;1440x900;1440x848;24;12;29;71;45;26;35
57582b17cd76a;8-Jun-2016 15:26:31 WEST;26;Male;Ensino Superior - Mestrado;PT;PT;pt;32;yes;15;10;hello;10;cure;1440x900;1440x848;24;12;29;74;45;26;35
