id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5713a02a13044,24,Female,32,yes,twoColorsObj,#FF0000,#0000FF,#8000FF,247,4,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
5713aa57bebec,24,Female,12,no,twoColorsObj,#FF0000,#0000FF,#808000,467,1,NA       ,0.28,0.28,0.21,0.17,0.28,0.22
5713dd915ca28,24,Female,20,no,twoColorsObj,#FF0000,#0000FF,#ff0087,162,3,NA       ,0.15,0.15,0.1,0.03,0.14,0.07
5713e73998df9,25,Male,4,no,twoColorsObj,#FF0000,#0000FF,#ab00ff,245,3,NA       ,0.1,0.1,0.26,0.21,0.1,0.2
5713fc80c942a,23,Female,32,no,twoColorsObj,#FF0000,#0000FF,#B000FF,181,4,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
5714c6c26c2f6,21,Male,11,no,twoColorsObj,#FF0000,#0000FF,#8000FF,187,4,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
572106a31c230,24,Male,16,no,twoColorsObj,#FF0000,#0000FF,#00FFFF,96,3,NA       ,0.2,0.2,0.26,0.2,0.2,0.22
5727633cd6511,25,Male,11,no,twoColorsObj,#FF0000,#0000FF,#ff007f,256,1,NA       ,0.16,0.16,0.09,0.03,0.15,0.07
572767049ccfa,24,Male,32,yes,twoColorsObj,#FF0000,#0000FF,#F000FF,124,3,NA       ,0.08,0.08,0.21,0.15,0.08,0.15
5727e49793f7b,22,Male,10,no,twoColorsObj,#FF0000,#0000FF,#808000,435,2,NA       ,0.28,0.28,0.21,0.17,0.28,0.22
572c85675a5ef,23,Male,32,yes,twoColorsObj,#FF0000,#0000FF,#FF0080,298,5,NA       ,0.16,0.16,0.09,0.03,0.15,0.07
5734918f46823,26,Male,32,no,twoColorsObj,#FF0000,#0000FF,#7f00ff,90,5,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
5734aa4c927a8,22,Male,15,no,twoColorsObj,#FF0000,#0000FF,#800080,241,5,NA       ,0.08,0.08,0.2,0.14,0.08,0.14
5734e848ad81a,21,Male,4,no,twoColorsObj,#FF0000,#0000FF,#8000FF,87,4,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
5735d3455a84c,29,Male,32,no,twoColorsObj,#FF0000,#0000FF,#8000FF,61,4,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
