id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
573613f4689a3,18,Male,7,no,objTwoColors,#FF0080,329,335,216,3,Magenta  ,Red      ,0.38,0.02,0.04,0.06,0.02,0.01,0.64,0.6,0.42,0.41
573634984323e,19,Male,32,no,objTwoColors,#FF0080,336,331,81,4,Red      ,Magenta  ,0.28,0.03,0.06,0.06,0.01,0,0.7,0.66,0.47,0.46
57363b3954a26,55,Male,16,no,objTwoColors,#FF0080,356,300,386,2,Red      ,Pink     ,0.05,0.02,0.16,0.06,0.04,0.04,0.91,0.88,0.68,0.68
573664e1a4a96,49,Male,18,no,objTwoColors,#FF0080,300,4,74,2,Pink     ,Red      ,0.68,0.02,0.2,0.06,0.03,0.03,0.46,0.42,0.31,0.32
57366c199283c,19,Male,32,no,objTwoColors,#FF0080,288,55,153,2,Navy-Blue,Green    ,0.75,0.14,0.22,0.2,0.12,0.13,0.15,0.11,0.12,0.13
5738cf3d97a58,23,Male,32,no,objTwoColors,#FF0080,7,256,379,3,Red      ,Blue     ,0.23,0.14,0.18,0.14,0.17,0.11,1.06,1.02,0.83,0.82
573a0b8280839,29,Male,21,yes,objTwoColors,#FF007A,40,52,33,3,Yellow   ,Green    ,0.51,0.22,0.17,0.2,0.21,0.21,0.54,0.5,0.34,0.33
573c70dabcfe0,49,Male,32,yes,objTwoColors,#FF007A,68,182,549,3,Yellow   ,Blue     ,0.51,0.4,0.26,0.26,0.31,0.27,0.79,0.76,0.62,0.63
573e4022949b1,24,Male,32,yes,objTwoColors,#FF007A,6,0,148,5,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
573e47c26cb8e,24,Male,32,yes,objTwoColors,#FF007A,10,42,44,2,Red      ,Yellow   ,0.33,0.15,0.09,0.11,0.12,0.14,0.62,0.59,0.4,0.39
